Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,itching:1,skin_rash:1,nodal_skin_eruptions:1,dischromic _patches:1,,,,,,,,,,,,,
Allergy,continuous_sneezing:1,shivering:1,chills:1,watering_from_eyes:1,,,,,,,,,,,,,
GERD,stomach_pain:1,acidity:1,ulcers_on_tongue:1,vomiting:2,cough:1,chest_pain:2,,,,,,,,,,,
Chronic cholestasis,itching:1,vomiting:2,yellowish_skin:2,nausea:1,loss_of_appetite:1,abdominal_pain:2,yellowing_of_eyes:2,,,,,,,,,,
Drug Reaction,itching:1,skin_rash:1,stomach_pain:1,burning_micturition:1,spotting_ urination:1,,,,,,,,,,,,
Peptic ulcer diseae,vomiting:2,indigestion:1,loss_of_appetite:1,abdominal_pain:2,passage_of_gases:1,internal_itching:1,,,,,,,,,,,
AIDS,muscle_wasting:1,patches_in_throat:1,high_fever:2,extra_marital_contacts:1,,,,,,,,,,,,,
Diabetes ,fatigue:1,weight_loss:2,restlessness:1,lethargy:1,irregular_sugar_level:1,blurred_and_distorted_vision:2,obesity:1,excessive_hunger:1,increased_appetite:1,polyuria:1,,,,,,,
Gastroenteritis,vomiting:2,sunken_eyes:1,dehydration:1,diarrhoea:2,,,,,,,,,,,,,
Bronchial Asthma,fatigue:1,cough:1,high_fever:2,breathlessness:2,family_history:1,mucoid_sputum:1,,,,,,,,,,,
Hypertension ,headache:1,chest_pain:2,dizziness:1,loss_of_balance:1,lack_of_concentration:1,,,,,,,,,,,,
Migraine,acidity:1,indigestion:1,headache:1,blurred_and_distorted_vision:2,excessive_hunger:1,stiff_neck:1,depression:1,irritability:1,visual_disturbances:1,,,,,,,,
Cervical spondylosis,back_pain:1,weakness_in_limbs:1,neck_pain:1,dizziness:1,loss_of_balance:1,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting:2,headache:1,weakness_of_one_body_side:1,altered_sensorium:1,,,,,,,,,,,,,
Jaundice,itching:1,vomiting:2,fatigue:1,weight_loss:2,high_fever:2,yellowish_skin:2,dark_urine:1,abdominal_pain:2,,,,,,,,,
Malaria,chills:1,vomiting:2,high_fever:2,sweating:1,headache:1,nausea:1,diarrhoea:2,muscle_pain:1,,,,,,,,,
Chicken pox,itching:1,skin_rash:1,fatigue:1,lethargy:1,high_fever:2,headache:1,loss_of_appetite:1,mild_fever:1,swelled_lymph_nodes:1,malaise:1,red_spots_over_body:1,,,,,,
Dengue,skin_rash:1,chills:1,joint_pain:1,vomiting:2,fatigue:1,headache:1,nausea:1,loss_of_appetite:1,pain_behind_the_eyes:1,back_pain:1,malaise:1,muscle_pain:1,red_spots_over_body:1,,,,
Typhoid,chills:1,vomiting:2,fatigue:1,high_fever:2,headache:1,nausea:1,constipation:1,abdominal_pain:2,diarrhoea:2,toxic_look_(typhos):1,belly_pain:1,,,,,,
hepatitis A,joint_pain:1,vomiting:2,yellowish_skin:2,dark_urine:1,nausea:1,loss_of_appetite:1,abdominal_pain:2,diarrhoea:2,mild_fever:1,yellowing_of_eyes:2,muscle_pain:1,,,,,,
Hepatitis B,itching:1,fatigue:1,lethargy:1,yellowish_skin:2,dark_urine:1,loss_of_appetite:1,abdominal_pain:2,yellow_urine:1,yellowing_of_eyes:2,malaise:1,receiving_blood_transfusion:1,receiving_unsterile_injections:1,,,,,
Hepatitis C,fatigue:1,yellowish_skin:2,nausea:1,loss_of_appetite:1,yellowing_of_eyes:2,family_history:1,,,,,,,,,,,
Hepatitis D,joint_pain:1,vomiting:2,fatigue:1,yellowish_skin:2,dark_urine:1,nausea:1,loss_of_appetite:1,abdominal_pain:2,yellowing_of_eyes:2,,,,,,,,
Hepatitis E,joint_pain:1,vomiting:2,fatigue:1,high_fever:2,yellowish_skin:2,dark_urine:1,nausea:1,loss_of_appetite:1,abdominal_pain:2,yellowing_of_eyes:2,acute_liver_failure:1,coma:1,stomach_bleeding:1,,,,
Alcoholic hepatitis,vomiting:2,yellowish_skin:2,abdominal_pain:2,swelling_of_stomach:1,distention_of_abdomen:1,history_of_alcohol_consumption:1,fluid_overload:1,,,,,,,,,,
Tuberculosis,chills:1,vomiting:2,fatigue:1,weight_loss:2,cough:1,high_fever:2,breathlessness:2,sweating:1,loss_of_appetite:1,mild_fever:1,yellowing_of_eyes:2,swelled_lymph_nodes:1,malaise:1,phlegm:1,chest_pain:2,blood_in_sputum:2,
Common Cold,continuous_sneezing:1,chills:1,fatigue:1,cough:1,high_fever:2,headache:1,swelled_lymph_nodes:1,malaise:1,phlegm:1,throat_irritation:1,redness_of_eyes:1,sinus_pressure:1,runny_nose:1,congestion:1,chest_pain:2,loss_of_smell:1,muscle_pain:1
Pneumonia,chills:1,fatigue:1,cough:1,high_fever:2,breathlessness:2,sweating:1,malaise:1,phlegm:1,chest_pain:2,fast_heart_rate:1,rusty_sputum:1,,,,,,
Dimorphic hemmorhoids(piles),constipation:1,pain_during_bowel_movements:1,pain_in_anal_region:1,bloody_stool:1,irritation_in_anus:1,,,,,,,,,,,,
Heart attack,vomiting:2,breathlessness:2,sweating:1,chest_pain:2,,,,,,,,,,,,,
